"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","Not Applicable","2024-09-24T11:23:51.477000Z","2024-09-24T12:19:55.774000Z","2024-09-24T14:17:39.185000Z","2024-10-04T15:49:16.102607Z",3365,"C1FKYHSS",108,"English, Urdu","No","22","Male","Asian","Pakistan","United Kingdom","United Kingdom","Urdu","Yes","Unemployed (and job seeking)","MDPRF10753"
"2","APPROVED","Not Applicable","2024-09-24T11:33:50.965000Z","2024-09-24T12:45:00.163000Z","2024-09-24T14:17:39.710000Z","2024-09-24T12:45:00.742241Z",4270,"C1FKYHSS",34,"Spanish, English","No","18","Male","Mixed","Mexico","United Kingdom","Mexico","Spanish","Yes","Unemployed (and job seeking)","MDPRF75094"
"3","APPROVED","Not Applicable","2024-09-24T11:34:09.702000Z","2024-09-24T12:41:33.265000Z","2024-09-24T14:17:41.041000Z","2024-09-24T12:43:03.287919Z",4044,"C1FKYHSS",400,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF35426"
"4","APPROVED","Not Applicable","2024-09-24T11:33:10.380000Z","2024-09-24T12:12:42.727000Z","2024-09-24T14:17:41.429000Z","2024-09-24T12:13:44.929410Z",2373,"C1FKYHSS",1466,"English","No","24","Female","White","United States","United Kingdom","United States","English","Yes","Full-Time","MDPRF51568"
"5","APPROVED","Not Applicable","2024-09-24T11:31:48.944000Z","2024-09-24T12:03:59.265000Z","2024-09-24T14:18:24.096000Z","2024-09-24T12:04:00.039829Z",1931,"C1FKYHSS",51,"English, Japanese, Korean","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","MDPRF67386"
"6","APPROVED","Not Applicable","2024-09-24T11:39:53.585000Z","2024-09-24T12:17:27.486000Z","2024-09-24T14:18:25.057000Z","2024-09-24T12:17:28.152969Z",2254,"C1FKYHSS",935,"English, French","No","25","Male","Black","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF01388"
"7","APPROVED","Not Applicable","2024-09-24T11:42:34.338000Z","2024-09-24T12:19:49.830000Z","2024-09-24T14:17:40.657000Z","2024-09-24T12:20:05.746769Z",2236,"C1FKYHSS",50,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF03607"
"8","APPROVED","Not Applicable","2024-09-24T11:42:31.750000Z","2024-09-24T12:23:13.409000Z","2024-09-24T14:18:24.653000Z","2024-09-24T12:23:14.736414Z",2442,"C1FKYHSS",4,"English","No","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF69535"
"9","APPROVED","Not Applicable","2024-09-24T11:44:01.030000Z","2024-09-24T13:06:25.163000Z","2024-09-24T14:18:25.486000Z","2024-09-24T13:08:29.182237Z",4945,"NOCODE",50,"English","No","22","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF91437"
"10","APPROVED","Not Applicable","2024-09-30T11:00:03.171000Z","2024-09-30T12:01:45.247000Z","2024-09-30T16:25:12.763000Z","2024-09-30T12:01:46.069641Z",3703,"C1FKYHSS",24,"English","No","24","Male","Asian","United Kingdom","United Kingdom","India","English","Yes","Due to start a new job within the next month","MDPRF98418"
